point_id,rot_x,rot_y,rot_z,lod_level,mean_gpu_ms,mean_cpu_ms,mean_fps,triangle_count,visible_renderer_count,screen_coverage,draw_call_count
2,0,90,0,1,5.793314,8.94964,111.7363,1035685,0,1.000000,6366
2,0,90,0,2,5.278514,9.634007,103.799,647811,0,1.000000,6241
2,0,90,0,3,4.025822,7.299835,136.9894,317532,0,1.000000,2595
2,0,135,0,0,3.795695,3.387234,263.4564,395629,0,1.000000,1640
2,0,135,0,1,3.620727,6.390126,156.4914,216874,0,1.000000,1439
2,0,135,0,2,3.505289,6.03632,165.6638,162686,0,1.000000,1426
2,0,135,0,3,3.061282,5.740006,174.2158,115282,0,1.000000,827
2,0,180,0,0,2.840985,2.208547,351.9906,113480,0,0.204534,462
2,0,180,0,1,2.923998,6.14208,162.8113,93215,0,0.204534,405
2,0,180,0,2,2.971375,5.5281,180.894,83584,0,0.204534,373
2,0,180,0,3,2.903791,5.751413,173.8703,74953,0,0.204534,365
2,0,225,0,0,2.906863,2.00502,344.0135,78485,0,0.203611,326
2,0,225,0,1,2.940041,5.637926,177.3702,68584,0,0.203611,290
2,0,225,0,2,3.055001,5.286254,189.1699,67479,0,0.203611,280
2,0,225,0,3,3.049745,5.229853,191.21,67498,0,0.203611,275
2,0,270,0,0,3.46071,1.883893,288.958,222948,0,0.215866,375
2,0,270,0,1,3.499418,5.265594,189.9121,166541,0,0.215866,320
2,0,270,0,2,3.495253,5.43258,184.0746,128648,0,0.215866,318
2,0,270,0,3,3.426713,5.197133,192.4138,93025,0,0.215866,315
2,0,315,0,0,4.214101,2.549793,237.2985,634457,0,1.000000,1558
2,0,315,0,1,3.912431,5.813766,172.0055,384973,0,1.000000,1424
2,0,315,0,2,3.698688,5.706833,175.2285,248028,0,1.000000,1349
2,0,315,0,3,3.241233,5.466459,182.9338,131628,0,1.000000,972
2,15,0,0,0,5.924523,4.273186,168.79,1762348,0,1.000000,4783
2,15,0,0,1,5.322206,7.345766,136.1328,965980,0,1.000000,4134
2,15,0,0,2,5.070643,7.117774,140.4934,599284,0,1.000000,3974
2,15,0,0,3,3.904649,6.485174,154.1979,308823,0,1.000000,2778
2,15,45,0,0,7.267643,7.754938,128.9501,2799614,0,1.000000,9694
2,15,45,0,1,6.384264,9.433459,106.0057,1399368,0,1.000000,8575
2,15,45,0,2,5.779382,9.734185,102.7307,847187,0,1.000000,8158
2,15,45,0,3,4.15232,7.475413,133.7719,425949,0,1.000000,3911
2,15,90,0,0,6.325102,7.469471,133.8783,2189394,0,1.000000,7559
2,15,90,0,1,5.578957,9.701847,103.0732,1042004,0,1.000000,6598
2,15,90,0,2,5.238306,9.351481,106.9349,647097,0,1.000000,6267
2,15,90,0,3,4.011827,7.346867,136.1124,333357,0,1.000000,2675
2,15,135,0,0,3.971755,2.978954,251.7779,449121,0,1.000000,1879
2,15,135,0,1,3.715413,6.04842,165.3324,246391,0,1.000000,1627
2,15,135,0,2,3.662165,6.14202,162.8129,186034,0,1.000000,1620
2,15,135,0,3,3.249288,5.854834,170.799,133682,0,1.000000,1007
