point_id,x,y,z,vol_min_x,vol_min_y,vol_min_z,vol_max_x,vol_max_y,vol_max_z
250,12.08046,1.500003,-73.06552,3.89134,-9.130241,-81.25932,20.26958,-2.860859,-64.87173
251,12.08046,7.769385,-73.06552,3.89134,-2.860859,-81.25932,20.26958,3.408524,-64.87173
252,12.08046,14.03877,-73.06552,3.89134,3.408524,-81.25932,20.26958,9.677906,-64.87173
253,12.08046,20.30815,-73.06552,3.89134,9.677906,-81.25932,20.26958,15.94729,-64.87173
254,12.08046,26.57753,-73.06552,3.89134,15.94729,-81.25932,20.26958,22.21667,-64.87173
255,12.08046,1.500002,-56.67794,3.89134,-9.130241,-64.87173,20.26958,-2.860859,-48.48415
256,12.08046,7.769384,-56.67794,3.89134,-2.860859,-64.87173,20.26958,3.408524,-48.48415
257,12.08046,14.03877,-56.67794,3.89134,3.408524,-64.87173,20.26958,9.677906,-48.48415
258,12.08046,20.30815,-56.67794,3.89134,9.677906,-64.87173,20.26958,15.94729,-48.48415
259,12.08046,26.57753,-56.67794,3.89134,15.94729,-64.87173,20.26958,22.21667,-48.48415
260,12.08046,2.292104,-40.29035,3.89134,-9.130241,-48.48415,20.26958,-2.860859,-32.09656
261,12.08046,8.561487,-40.29035,3.89134,-2.860859,-48.48415,20.26958,3.408524,-32.09656
262,12.08046,14.83087,-40.29035,3.89134,3.408524,-48.48415,20.26958,9.677906,-32.09656
263,12.08046,21.10025,-40.29035,3.89134,9.677906,-48.48415,20.26958,15.94729,-32.09656
