point_id,rot_x,rot_y,rot_z,lod_level,mean_gpu_ms,mean_cpu_ms,mean_fps
2,-60,90,-30,0,1.822686,1.548116,548.6409
2,-60,90,-30,1,1.788211,1.514127,559.218
2,-60,90,-30,2,1.813845,1.520297,551.3149
2,-60,90,-30,3,1.811558,1.485047,552.0109
2,-60,90,0,0,1.812787,1.53989,551.6367
2,-60,90,0,1,1.807633,1.552113,553.2096
2,-60,90,0,2,1.812753,1.553443,551.6472
2,-60,90,0,3,1.823198,1.49654,548.4869
2,-60,90,30,0,1.808794,1.542173,552.8547
2,-60,90,30,1,1.830263,1.522187,546.3695
2,-60,90,30,2,1.799228,1.52179,555.794
2,-60,90,30,3,1.789065,1.508487,558.9514
2,-60,180,-30,0,1.588625,1.549937,629.4751
2,-60,180,-30,1,1.57556,1.505243,634.6948
2,-60,180,-30,2,1.573888,1.544743,635.3693
2,-60,180,-30,3,1.566413,1.573574,635.4962
2,-60,180,0,0,1.609728,1.52904,621.2229
2,-60,180,0,1,1.598976,1.58301,625.4003
2,-60,180,0,2,1.60058,1.475017,624.7734
2,-60,180,0,3,1.589999,1.5331,628.9312
2,-60,180,30,0,1.599488,1.525213,625.2001
2,-60,180,30,1,1.610138,1.50013,621.0649
2,-60,180,30,2,1.594641,1.526307,627.1003
2,-60,180,30,3,1.597303,1.506093,626.0551
2,-60,270,-30,0,1.782068,1.757967,561.1459
2,-60,270,-30,1,1.775138,1.760473,563.3364
2,-60,270,-30,2,1.775582,1.523224,563.1957
2,-60,270,-30,3,1.795721,1.566243,556.8795
2,-60,270,0,0,1.768755,1.568043,565.3693
2,-60,270,0,1,1.769677,1.876847,532.8086
2,-60,270,0,2,1.759983,1.513433,568.1873
2,-60,270,0,3,1.806097,1.500134,553.6801
2,-60,270,30,0,1.756467,1.599513,569.3246
2,-60,270,30,1,1.809032,1.56667,552.7817
2,-60,270,30,2,1.795174,1.582677,557.049
2,-60,270,30,3,1.80009,1.54996,555.5278
2,0,0,-30,0,4.550656,9.160231,109.1676
2,0,0,-30,1,4.153667,6.678689,149.73
2,0,0,-30,2,3.992214,7.501388,133.3087
2,0,0,-30,3,3.167335,3.562203,280.7252
2,0,0,0,0,4.711338,8.706721,114.8538
2,0,0,0,1,4.231782,6.765105,147.8174
2,0,0,0,2,4.076112,6.513884,153.5182
2,0,0,0,3,3.133952,3.980332,251.2353
2,0,0,30,0,4.045107,6.334804,157.8581
2,0,0,30,1,3.646061,4.96665,201.3429
2,0,0,30,2,3.494437,4.758079,210.1689
2,0,0,30,3,2.979769,3.060104,326.7863
2,0,90,-30,0,3.907633,6.340371,157.7195
2,0,90,-30,1,3.507056,4.55024,219.7686
2,0,90,-30,2,3.266014,4.339107,230.4622
2,0,90,-30,3,2.916023,3.182021,314.2657
2,0,90,0,0,4.441202,7.905272,126.4979
2,0,90,0,1,3.913416,5.748674,173.9532
2,0,90,0,2,3.756837,5.210804,191.909
2,0,90,0,3,2.993788,3.193903,313.0966
2,0,90,30,0,4.6919,8.549114,116.9712
2,0,90,30,1,4.031734,5.887484,169.8519
2,0,90,30,2,3.880907,5.877776,170.1324
2,0,90,30,3,3.103342,3.455582,289.3868
2,0,180,-30,0,2.206208,1.509633,453.2665
2,0,180,-30,1,2.157841,1.49099,463.4262
2,0,180,-30,2,2.157773,1.461567,463.4408
2,0,180,-30,3,2.186888,1.597903,457.2707
2,0,180,0,0,2.238055,1.49727,446.8167
2,0,180,0,1,2.207266,1.54991,453.0491
2,0,180,0,2,2.220476,1.50319,450.3539
2,0,180,0,3,2.202283,1.483503,454.0743
2,0,180,30,0,2.200371,1.52978,454.4688
2,0,180,30,1,2.195695,1.477113,455.4367
2,0,180,30,2,2.226722,1.561213,449.0905
2,0,180,30,3,2.232286,1.522763,447.9713
2,0,270,-30,0,2.192521,1.519403,456.096
2,0,270,-30,1,2.149205,1.4715,465.2883
2,0,270,-30,2,2.193511,1.4993,455.8902
2,0,270,-30,3,2.143266,1.481627,466.5776
2,0,270,0,0,2.180062,1.641577,458.7025
2,0,270,0,1,2.140365,1.570283,467.2101
2,0,270,0,2,2.181973,1.46867,458.3008
2,0,270,0,3,2.181803,1.497404,458.3366
2,0,270,30,0,2.14412,1.557657,466.3919
2,0,270,30,1,2.143642,1.47081,466.4958
2,0,270,30,2,2.113297,1.490943,473.1942
2,0,270,30,3,2.150946,1.46576,464.9117
2,60,0,-30,0,2.57635,1.69389,388.146
2,60,0,-30,1,2.554744,1.627103,391.4287
2,60,0,-30,2,2.50153,1.651317,399.7554
2,60,0,-30,3,2.531703,1.601253,394.991
2,60,0,0,0,2.443093,1.620197,409.3172
2,60,0,0,1,2.445073,1.60219,408.9857
2,60,0,0,2,2.417869,1.62246,413.5874
2,60,0,0,3,2.414967,1.574677,414.0843
2,60,0,30,0,2.88727,2.04749,346.3479
2,60,0,30,1,2.823475,1.983607,354.1735
2,60,0,30,2,2.782686,1.945696,359.365
2,60,0,30,3,2.660762,1.82604,375.8322
2,60,90,-30,0,2.853606,2.08985,350.4337
2,60,90,-30,1,2.700118,2.075166,370.3542
2,60,90,-30,2,2.643729,1.795277,378.2535
2,60,90,-30,3,2.604066,1.7084,384.0148
2,60,90,0,0,2.567748,1.70014,389.4463
2,60,90,0,1,2.546415,1.647797,392.709
2,60,90,0,2,2.53952,1.641203,393.7751
2,60,90,0,3,2.505557,1.596857,399.1128
2,60,90,30,0,2.506718,1.664503,398.928
2,60,90,30,1,2.483747,1.683383,402.6176
2,60,90,30,2,2.499038,1.70121,400.1541
2,60,90,30,3,2.464324,1.575043,405.7908
2,60,180,-30,0,2.481971,1.56634,402.9056
2,60,180,-30,1,2.452787,1.517123,407.6995
2,60,180,-30,2,2.452173,1.49763,407.8016
2,60,180,-30,3,2.419098,1.489167,413.3773
2,60,180,0,0,2.425617,1.678383,412.2662
2,60,180,0,1,2.433946,1.649503,410.8555
2,60,180,0,2,2.392883,1.556867,417.9059
2,60,180,0,3,2.41466,1.575263,414.137
2,60,180,30,0,2.401724,1.623587,416.3676
2,60,180,30,1,2.411588,1.542107,414.6645
